epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1585.52,1.54812,1.83257,1.22679,0.85683,0.40893,0.60742,0.35297,1.96363,2.06144,1.28136,0.000404172,0.000404172,0.000404172
54,1614.56,1.51295,1.88427,1.18999,0.96052,0.34835,0.60061,0.3625,1.89644,2.11046,1.25129,0.000395925,0.000395925,0.000395925
55,1643.47,1.57309,1.81098,1.20022,0.84287,0.39093,0.57346,0.35217,1.79736,2.11671,1.22601,0.000387678,0.000387678,0.000387678
56,1672.59,1.58487,1.97126,1.20586,0.64618,0.42469,0.57233,0.3473,1.76629,2.10351,1.21501,0.000379431,0.000379431,0.000379431
57,1701.82,1.54788,1.6605,1.20333,0.73177,0.27669,0.40565,0.25241,1.75624,2.13541,1.2165,0.000371185,0.000371185,0.000371185
58,1731.16,1.54444,1.67046,1.19238,0.71549,0.28719,0.41838,0.27449,1.78536,2.19379,1.23332,0.000362938,0.000362938,0.000362938
59,1760.24,1.54879,1.68848,1.17893,0.50377,0.49954,0.52991,0.35651,1.79128,2.28655,1.22147,0.000354691,0.000354691,0.000354691
60,1789.2,1.45209,1.53425,1.17865,0.81341,0.45321,0.55531,0.35163,1.79219,2.27951,1.21355,0.000346445,0.000346445,0.000346445
61,1818.45,1.58306,1.73805,1.27711,0.86452,0.4271,0.53192,0.35199,1.76081,2.15961,1.20134,0.000338198,0.000338198,0.000338198
62,1847.69,1.51775,1.72713,1.23251,0.83397,0.42317,0.53813,0.3532,1.7488,2.1451,1.19442,0.000329951,0.000329951,0.000329951
63,1876.48,1.51602,1.69896,1.24376,0.64566,0.462,0.54839,0.35706,1.85954,2.23029,1.23834,0.000321705,0.000321705,0.000321705
64,1905.7,1.47986,1.814,1.25595,0.65016,0.4322,0.53121,0.35181,1.86613,2.17425,1.23152,0.000313458,0.000313458,0.000313458
65,1934.87,1.51393,1.58331,1.21691,0.67283,0.43555,0.52918,0.35273,1.81555,2.08837,1.20566,0.000305211,0.000305211,0.000305211
66,1964.42,1.56834,1.86978,1.26847,0.63415,0.47929,0.51552,0.32427,1.76188,2.16491,1.1929,0.000296964,0.000296964,0.000296964
67,1993.59,1.53964,1.53497,1.19353,0.56864,0.50622,0.50461,0.32612,1.74852,2.2135,1.19455,0.000288718,0.000288718,0.000288718
68,2022.84,1.51055,1.63113,1.20707,0.70433,0.52015,0.55518,0.36936,1.79746,2.0701,1.23101,0.000280471,0.000280471,0.000280471
69,2051.9,1.57278,1.67203,1.18684,0.75598,0.50635,0.56745,0.37636,1.8521,2.03262,1.25933,0.000272224,0.000272224,0.000272224
70,2081.24,1.49734,1.48027,1.191,0.7526,0.49575,0.58683,0.39108,1.85438,2.03022,1.25142,0.000263978,0.000263978,0.000263978
